NOTE: Some of these tickers may no longer be supported

ticker	Name	Exchange	type
BWPANG=X	BWP/ANG	CCY	CURRENCY_PAIR
BOBPYG=X	BOB/PYG	CCY	CURRENCY_PAIR
BRLVEF=X	BRL/VEF	CCY	CURRENCY_PAIR
BWPHRK=X	BWP/HRK	CCY	CURRENCY_PAIR
BWPCLP=X	BWP/CLP	CCY	CURRENCY_PAIR
BWPAFN=X	BWP/AFN	CCY	CURRENCY_PAIR
BSDUSD=X	BSD/USD	CCY	CURRENCY_PAIR
BOBARS=X	BOB/ARS	CCY	CURRENCY_PAIR
BDTGBP=X	BDT/GBP	CCY	CURRENCY_PAIR
BSDCHF=X	BSD/CHF	CCY	CURRENCY_PAIR
BWPMXN=X	BWP/MXN	CCY	CURRENCY_PAIR
BWPDKK=X	BWP/DKK	CCY	CURRENCY_PAIR
BWPCAD=X	BWP/CAD	CCY	CURRENCY_PAIR
BOBGBP=X	BOB/GBP	CCY	CURRENCY_PAIR
BDTSEK=X	BDT/SEK	CCY	CURRENCY_PAIR
BWPSAR=X	BWP/SAR	CCY	CURRENCY_PAIR
BHDDKK=X	BHD/DKK	CCY	CURRENCY_PAIR
