NOTE: Some of these tickers may no longer be supported

ticker	name	exchange	type
^NQTR8000AUD	NASDAQ Turkey Financials AUD In	NIM	INDEX
^NQUSS3726AUD	NQ US Sm Cap Furnishings AUD In	NIM	INDEX
^NQBRIC4000AUD	NASDAQ BRIC Health Care AUD Ind	NIM	INDEX
^NQUSS8530AUDT	NQ US Sm Cap Nonlife Ins AUD TR	NIM	INDEX
2694.DE	HSBC MSCI EM INAV EUR	GER	INDEX
^NQDMASIA9000LMN	NASDAQ DM Asia Tech Large Mid C	NIM	INDEX
^NQMEA5700AUDT	NASDAQ MEA Travel & Leisure AUD	NIM	INDEX
^NQDMASIA2000EURN	NASDAQ DM Asia Inds EUR NTR Ind	NIM	INDEX
^NQAU2000EUR	NASDAQ Australia Inds EUR Index	NIM	INDEX
^NQEMEA2700AUDT	NASDAQ EMEA Ind Goods & Svcs AU	NIM	INDEX
^NQEMEU8600AUD	NASDAQ EM Europe Real Estate AU	NIM	INDEX
^NQLA2000LMJPYN	NASDAQ Lat America Inds Lg Md C	NIM	INDEX
^NQHK4000AUD	NASDAQ Hong Kong Health Care AU	NIM	INDEX
^NQDMASIA3500EURN	NASDAQ DM Asia Food & Beverage	NIM	INDEX
^DWSGAXTR	^DWSGAXTR	SNP	INDEX
^NQNA6000LMAUDT	NASDAQ N America Telecom Lg Md	NIM	INDEX
^NQDMEU1000AUDT	NASDAQ DM Europe Basic Matls AU	NIM	INDEX
^NQUSB7530AUDT	NQ US Bnchmk Eltrcty AUD TR Ind	NIM	INDEX
SD51P.SW	SBI Dom AAA-BBB 5-10 P	EBS	INDEX
^SPADFP1I	S&P Australian Dollar Futures 1	SNP	INDEX
^NQUSAJPY	NASDAQ US All Market JPY Index	NIM	INDEX
G30C.NZ	S&P/NZX ALL CONSUMER STAPLES (S	NZE	INDEX
SBF34T.SW	SBI For A-BBB T	EBS	INDEX
NLTEC.AS	AEX TECHNOLOGY	AMS	INDEX
ST35Y.SW	SBI AAA-BBB 3-5 Y	EBS	INDEX
^NQUSS2713GBP	NQ US Sm Cap Aerospace GBP Inde	NIM	INDEX
^BKCNCHTR	BNY Mellon China Select ADR Tot	SNP	INDEX
EPAS.FGI			INDEX
SDNAD.SW	SBI Dom Non-Gov AAA-A D	EBS	INDEX
^NQUSL8570AUD	NQ US Lg Cap Life Ins AUD Index	NIM	INDEX
^NQUSB8771LMEURN	NQ US Asset Managers Large Mid	NIM	INDEX
^NQUSL2713CADN	NQ US Lg Cap Aerospace CAD NTR	NIM	INDEX
^NQEMASIA3700T	The NASDAQ EM Asia Personal & H	NIM	INDEX
3BPK.DE	INAV DBXT LPX CHF	GER	INDEX
^BKAUT	BNY Mellon Australia ADR Total	SNP	INDEX
7DXU.DE	HSBC FT100 INAV USD	GER	INDEX
^NQASPAXJPLMJPYT	NASDAQ ASPA Ex Japan Large Mid	NIM	INDEX
^NQEMASIA8700LMN	NASDAQ EM Asia Financial Svcs L	NIM	INDEX
^NQTW3000AUDN	NASDAQ Taiwan Cnsmr Goods AUD N	NIM	INDEX
^NQTR3000AUDT	NASDAQ Turkey Cnsmr Goods AUD T	NIM	INDEX
^NQCNAUDT	NASDAQ China AUD TR Index	NIM	INDEX
^NQDMASPA1000N	The NASDAQ DM ASPA Basic Materi	NIM	INDEX
^NQUSL2750AUD	NQ US Lg Cap Ind Engineering AU	NIM	INDEX
^NQES2000AUD	NASDAQ Spain Inds AUD Index	NIM	INDEX
^NQNA8500N	The NASDAQ North America Insura	NIM	INDEX
^NQEMASIA2300LMT	NASDAQ EM Asia Constr & Matls L	NIM	INDEX
^RAPJUSD	Russell Asia Pacific ex-Japan	WCB	INDEX
^NQUSL8675AUDT	NQ US Lg Cap Specialty REITs AU	NIM	INDEX
NLRE.AS			INDEX
SBD12D.SW	SBI Dom AAA-AA D	EBS	INDEX
WIXEBS0580.FGI			INDEX
FCAG.EX			INDEX
^NQASPA5000LMGBPN	NASDAQ ASPA Cnsmr Svcs Large Mi	NIM	INDEX
^NQZA3000	The NASDAQ South Africa Consume	NIM	INDEX
^NQATMCCADN	NASDAQ Austria Mid Cap CAD NTR	NIM	INDEX
^SPBDAGTT	S&P/ASX Australian Government B	SNP	INDEX
^NQNA3000	The NASDAQ North America Consum	NIM	INDEX
^SIXYTR	Syntax Consumer Products and Se	NYS	INDEX
^NQUSL9578AUD	NQ US Lg Cap Telecom Eqpt AUD I	NIM	INDEX
NLRIS.NX			INDEX
4Q88.DE	INAVISHUKG0-5YRUUSD	GER	INDEX
ALASN.NX			INDEX
